,OBJECTID,מקום,הערות,תאריך,שעות שהייה,סוג מיקום,x,y,"('ArcGIS',)_x","('ArcGIS',)_y","('Photon',)_x","('Photon',)_y","('Nominatim',)_x","('Nominatim',)_y"
15,14716,"קופת חולים כללית, כסיפה א'",,9/3/2020,08:00-16:00,מיקום חולה,35.082868,31.249581,34.78323,31.24028,34.89197516,32.07234625,,
16,14717,"סופר דאבח, מתחם איקאה, באר שבע",,9/3/2020,21:00-23:00,מיקום חולה,34.8224416,31.2244302,34.79079,31.23616,,,,
17,14718,"בית כנסת ""משכנות נריה"", אלעד",,9/3/2020,05:45-06:20,מיקום חולה,34.95075,32.04953,34.96002,32.05041,,,,
18,14719,"בית כנסת ""מאור שרגא"", אלעד",,9/3/2020,19:30-20:00,מיקום חולה,34.9597296,32.053904,34.96278,32.04693,,,,
19,14720,"בית הכנסת יוצאי חברון, רח' בר אילן 7, בני ברק",,9/3/2020,07:30-09:00,מיקום חולה,34.8337052,32.0837492,34.83989828,32.08870981,,,,
20,14721,סינמה סיטי ירושלים בסרט 'סודות מדינה' אולם 8,,9/3/2020,לא ידוע,מיקום חולה,35.2036425,31.7830449,35.21873,31.78003,,,,
21,14722,"חנות לבגדי נשים ""לילוש"" בקרית ים - שד' ירושלים 51",לא צוינו שעות,9/3/2020,00:02-23:58,מיקום חולה,35.06890348,32.84267028,35.21873,31.78003,,,,
22,14723,"הום סנטר, רח' שבעת הכוכבים 8, הרצליה",,9/3/2020,13:00-14:30,מיקום חולה,34.8234783,32.1647043,34.82650233,32.16370059,,,,
23,14724,"סופר ויקטורי, רח' שבעת הכוכבים 8, הרצליה",,9/3/2020,11:30-13:00,מיקום חולה,34.8242079,32.1647849,34.82650233,32.16370059,,,,
24,14725,"בית הכנסת קומרנא, דבורה הנביאה 14, בני ברק",בעזרת נשים,9/3/2020,08:30-09:30,מיקום חולה,34.83544681,32.07833982,34.8355,32.07816,,,,
25,14726,בית העלמין אלון מורה,לוויה,9/3/2020,19:40-23:00,מיקום חולה,35.3352446,32.226323,35.22012,33.06783,35.33527017,32.2263616,,
26,14727,ישיבת מקור חיים כפר עציון,,9/3/2020,19:40-23:00,מיקום חולה,35.1158519,31.6487795,35.11575,31.6486,,,,
27,14728,בית הכנסת המרוקאי בשכונת תמר באפרת,,9/3/2020,08:00-10:00,מיקום חולה,35.16417,31.68029,,,,,,
28,14729,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב",,9/3/2020,05:15-08:30,מיקום חולה,35.248254,31.87904,35.24352,31.88032,,,,
29,14730,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב",,9/3/2020,13:00-13:30,מיקום חולה,35.248254,31.87904,35.24352,31.88032,,,,
30,14731,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב",,9/3/2020,22:00-22:15,מיקום חולה,35.248254,31.87904,35.24352,31.88032,,,,
31,14732,"מסעדת קובה׳לה, רחוב הדקל 1, ירושלים",,9/3/2020,10:00-13:40,מיקום חולה,35.211345,31.7853324,35.21125227,31.78533311,,,,
32,14733,"בית כנסת ישקלוב, רח' שאולזון 1, הר נוף, ירושלים",,9/3/2020,18:00-18:45,מיקום חולה,35.17648,31.7906511,35.17243555,31.78899308,,,,
33,14734,"בית כנסת קהל חסידים, רח' חולדה הנביאה 10, בני ברק",,9/3/2020,17:00-18:00,מיקום חולה,34.8297768,32.0781428,34.82979421,32.07811306,34.82961625,32.0781192,,
