UNIQ_ID,PARENT,FCODE,USG_GROUP,USG_CODE,USG_SP_NAM,USG_SP_NM_,USG_PRIORI,BLDG_ID,CMPLX_ID,CMLX_FCD,E_ORD,N_ORD,DATA_YEAR,PRDCT_VER
"53961354","0","223","20","5521",בית כנסת - שערי שמים,Sha'are Shamayim Synagogue,"1","65243475","0","0",180251.22082700001,662587.20329400001,"0",
"53960735","0","223","20","5521",בית כנסת - היכל מאיר,,"1","52301205","0","0",188701.81112699999,665657.56749399996,"2017",2018-04
"53960736","0","223","20","5521",בית כנסת - בית ישראל,,"1","53297177","0","0",185048.84732700000,665703.67139399995,"0",
"53961159","0","223","20","5521",בית כנסת - רינת אשר,,"1","52188995","0","0",188765.87522700001,664560.70199400000,"0",
"53959047","0","223","20","5521",בית כנסת - אהבת רעים,,"2","53036984","0","0",178988.20252699999,664143.98719400004,"0",
"53959050","0","223","20","5501",מקווה - ראובן,,"1","52461850","0","0",198760.01972700001,627467.17089399998,"0",
"53960299","0","223","20","5521",בית כנסת - זהרי חמה,,"1","53327174","0","0",220273.49662699999,632579.46339399996,"0",
"53960304","0","223","20","5521","בית כנסת - רשב""מ",,"1","52476110","0","0",186977.09532699999,649645.39769400004,"0",
"53960366","0","223","20","5521",בית כנסת - חסידי בעלזא,,"1","52295123","0","0",184159.35482700000,665864.02939399995,"0",
"53961800","0","223","20","5525",כנסיה - יוונית אורתודוקסית,,"1","53360996","0","0",223060.85052700000,632445.84319399996,"0",
"53960745","0","223","20","5500","בית חב""ד",Bet Chabad,"1","52454652","0","0",175821.99592700001,655971.54799400002,"0",
"53960755","0","223","20","5521",בית כנסת - רבי שלום שבזי,,"1","52561978","0","0",178048.13482700000,664209.52219399996,"0",
"53961009","0","223","20","5521",בית כנסת - הבריאה,,"1","52267373","0","0",184178.97142700001,665409.28709400003,"0",
"53959053","0","223","20","5521",בית כנסת - זזיבת ציון,,"1","53333370","0","0",176067.93762700001,642618.77219399996,"0",
"54011738","0","223","20","5521",בית כנסת - תורת חיים,,"1","52535005","0","0",183441.36702700000,643235.75369399996,"0",
"53959062","0","223","20","5521",בית כנסת - אהבת ציון,Ahavat Tsiyyon Synagogue,"1","53329095","0","0",183687.39342700000,651038.31159399997,"0",
"53959069","0","223","20","5521",בית כנסת - מוריה,,"1","53109992","0","0",188607.39322699999,664799.36479400005,"0",
"54011741","0","223","20","5521",בית כנסת - תפארת רפאל,,"1","52476944","0","0",177921.37362699999,664279.47799399996,"0",
"53959072","0","223","20","5521",בית כנסת - ששון שמואל,,"1","52398788","0","0",183666.02472700001,664480.91829399997,"0",
"53959313","0","223","20","5501",מקווה,Mikve (Ritual Bath),"1","52440668","0","0",207072.93192700000,626393.95929399994,"0",
"53959314","0","223","20","5521",בית כנסת - שבזי,,"1","53338865","0","0",181660.82322699999,643802.50569400005,"0",
"53960337","0","223","20","5521",בית כנסת - משכן הראל,,"1","53444495","0","0",184457.11042700001,661516.63219399995,"0",
"53960344","0","223","20","5521",בית כנסת - מקדש אליהו,,"1","52540206","0","0",217206.19582699999,629249.19009399996,"0",
"54013056","0","223","20","5521",בית כנסת - גובה ישראל,,"1","52932088","0","0",218984.92472700001,573363.02209400001,"0",
"53960358","0","223","20","5521",בית כנסת,Synagogue,"1","53018204","0","0",220830.22092699999,630846.58519400004,"0",
"53960361","0","223","20","5521",בית כנסת - צמח צדק,,"1","52491086","0","0",167644.29252700001,633194.42169400002,"0",
"53961672","0","223","20","5523",מסגד,Mosque,"1","53183800","0","0",198058.47392700001,669028.52019399998,"0",
"54013359","0","223","20","5521",בית כנסת - יד גיבורים,,"1","52395621","0","0",183547.73102700000,664162.16749400005,"0",
"53961684","0","223","20","5521",בית כנסת - ישורון,,"1","52518384","0","0",184248.40922700000,656457.25269400002,"0",
