id,lat,long,from,to,raw_text
1736,32.569352,34.93345,2020-03-11 19:00:00,2020-03-11 19:30:00,סופר רמי לוי - זכרון יעקב
1737,32.090279,34.775529,2020-03-11 19:30:00,2020-03-11 21:30:00,"בר ""קוקטילים 223"", רחוב דיזינגוף 223, תל אביב"
1738,32.0838014,34.78921067,2020-03-11 19:30:00,2020-03-11 20:00:00,"מארלוזורוב ויצמן ת""א תחנה מס' 13 עד תחנת עד""ש שפיק מס' 46 בפ""ת."
1739,31.7219922,35.22415756,2020-03-11 19:55:00,2020-03-11 20:30:00,"ית הכנסת ברחוב הרב מנהר 4, הר חומה, ירושלים"
1740,31.9006391,35.0078202,2020-03-11 20:00:00,2020-03-11 20:10:00,סופרפארם קניון עזריאלי מודיעין
1741,32.4490906,34.9147627,2020-03-11 20:00:00,2020-03-11 21:00:00,סופר אושר עד באזור התעשייה חדרה
1742,32.610201,35.2884211,2020-03-11 20:00:00,2020-03-11 20:30:00,חנות שילב - עפולה
1743,31.7708458,34.632837,2020-03-11 20:00:00,2020-03-11 22:30:00,אולם אירועים בית כנסת אבוחצירה - אשדוד
1744,32.610201,35.2884211,2020-03-11 20:00:00,2020-03-11 20:30:00,"חנות שילב, מתחם התחנה - עפולה"
1745,32.8680393,35.278195,2020-03-11 20:00:00,2020-03-11 21:00:00,מרפאת קופת חולים כללית משגב - עצמון שגב
1746,31.8992742,35.008344,2020-03-11 20:10:00,2020-03-11 20:20:00,"""יינות ביתן"" קניון עזריאלי מודיעין"
1747,32.6054369,35.2935362,2020-03-11 20:30:00,2020-03-11 21:00:00,"סופר פארם, מתחם התחנה - עפולה"
1748,32.0891032,34.8380488,2020-03-11 20:30:00,2020-03-11 21:30:00,סופר שפע ברכת השם - בני ברק
1749,32.6054369,35.2935362,2020-03-11 20:30:00,2020-03-11 21:00:00,סופר פארם מתחם התחנה - עפולה
1750,31.609332,34.770308,2020-03-11 20:45:00,2020-03-11 21:00:00,"חנות שייפון ליד תחנה מרכזית, קרית גת"
1751,32.3009928,34.8598411,2020-03-11 21:30:00,2020-03-11 23:00:00,"מתנ""ס רמת ידין דורה, רח' נחום 35, נתניה"
1752,32.3009928,34.8598411,2020-03-11 21:30:00,2020-03-11 23:00:00,מתנס דורה - נתניה
1753,31.80196983,35.09919368,2020-03-11 21:45:00,2020-03-11 23:00:00,בית כנסת אברהם - קרית יערים
1754,32.34523791,34.90861241,2020-03-11 22:00:00,2020-03-11 23:30:00,מסעדת יומנגס - כפר רופין
1755,32.0684112,34.7773384,2020-03-11 23:00:00,2020-03-11 23:15:00,"סופרמרקט am:pm, רח' שינקין 59 פינת אחד העם, תל אביב"
1756,32.09809878,34.84124784,2020-03-11 23:00:00,2020-03-12 1:00:00,כולל היכל שמואל - בני ברק
1757,31.8087788,34.78599,2020-03-12 17:30:00,2020-03-12 18:30:00,"בית כנסת חב""ד, רחוב יסמין, גדרה."
1758,31.2377605,34.7859917,2020-03-12 0:00:00,2020-03-12 20:00:00,"מסעדת קפריס, רחוב הרצל, באר שבע"
1759,31.9908489,34.7610698,2020-03-13 0:30:00,2020-03-13 23:30:00,"סופרמרקט ""אושר עד"", רח' אצ""ל 24 ראשל""צ"
1760,31.87904,35.248254,2020-03-13 5:15:00,2020-03-13 6:16:00,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב"
1761,31.87904,35.248254,2020-03-13 7:25:00,2020-03-13 7:40:00,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב"
1762,31.87904,35.248254,2020-03-13 17:00:00,2020-03-13 18:30:00,"בית כנסת בבית מדרש ""אוהלי שם"" רח' נהר שלום כוכב יעקב"
1763,31.7896423,35.1739899,2020-03-12 10:00:00,2020-03-12 11:00:00,"בית כנסת אמרי שפר, רח' קצנלבוגן 1, הר נוף, ירושלים"
1764,31.7861401,35.1737005,2020-03-13 13:00:00,2020-03-13 13:30:00,"סופר יש, רח' שאולזון, הר נוף, ירושלים"
1765,31.7547198,35.2160602,2020-03-13 12:00:00,2020-03-13 12:15:00,"בורקס אמא, רח' רבקה, ירושלים"
1766,32.033714,34.8925797,2020-03-13 8:00:00,2020-03-13 8:30:00,"""סופר אדוארד"" רח' ויצמן 55, יהוד"
1767,32.0988889,34.8297222,2020-03-12 9:30:00,2020-03-12 11:00:00,"סופרמרקט ""אושר עד"", רח' הקישון 11, בני ברק"
1768,31.9908489,34.7610698,2020-03-13 0:30:00,2020-03-13 23:30:00,"אושר עד, רח' אצ""ל 24"
1769,32.69357616,35.26490988,2020-03-12 6:00:00,2020-03-12 6:30:00,בית כנסת עולי אירופה - מגדל העמק
1770,31.654871,35.125256,2020-03-12 7:20:00,2020-03-12 7:50:00,"בית כנסת הישן, ישוב אלון שבות"
1771,32.0305322,34.8783655,2020-03-12 8:30:00,2020-03-12 9:30:00,"פארם בקניון סביונים ביהוד, קומה שנייה"
1772,31.66406397,35.15654824,2020-03-12 8:30:00,2020-03-12 8:45:00,סופר דיל - אפרת
1773,31.7672858,35.2018044,2020-03-12 8:45:00,2020-03-12 9:30:00,סופר פארם ניות - ירושלים
1774,32.0950616,34.7786835,2020-03-12 9:00:00,2020-03-12 10:30:00,"מועדון כושר ""קולנוע פאר"", רחוב ישעיה 1, תל אביב"
